rank,name,release year,rating
1,The Shawshank Redemption,1994,9.3
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.0
4,The Godfather Part II,1974,9.0
5,12 Angry Men,1957,9.0
6,Schindler's List,1993,9.0
7,The Lord of the Rings: The Return of the King,2003,9.0
8,Pulp Fiction,1994,8.9
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,"Il buono, il brutto, il cattivo",1966,8.8
11,Forrest Gump,1994,8.8
12,Fight Club,1999,8.8
13,The Lord of the Rings: The Two Towers,2002,8.8
14,Inception,2010,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.7
17,Goodfellas,1990,8.7
18,One Flew Over the Cuckoo's Nest,1975,8.7
19,Spider-Man: Across the Spider-Verse,2023,8.7
20,Se7en,1995,8.6
21,It's a Wonderful Life,1946,8.6
22,Shichinin no samurai,1954,8.6
23,The Silence of the Lambs,1991,8.6
24,Interstellar,2014,8.7
25,Saving Private Ryan,1998,8.6
26,Cidade de Deus,2002,8.6
27,La vita è bella,1997,8.6
28,The Green Mile,1999,8.6
29,Star Wars,1977,8.6
30,Terminator 2: Judgment Day,1991,8.6
31,Back to the Future,1985,8.5
32,Sen to Chihiro no kamikakushi,2001,8.6
33,The Pianist,2002,8.5
34,Psycho,1960,8.5
35,Gisaengchung,2019,8.5
36,Gladiator,2000,8.5
37,The Lion King,1994,8.5
38,Léon,1994,8.5
39,American History X,1998,8.5
40,The Departed,2006,8.5
41,Whiplash,2014,8.5
42,The Prestige,2006,8.5
43,Oppenheimer,2023,8.6
44,The Usual Suspects,1995,8.5
45,Hotaru no haka,1988,8.5
46,Seppuku,1962,8.6
47,Casablanca,1942,8.5
48,Intouchables,2011,8.5
49,Modern Times,1936,8.5
50,Nuovo Cinema Paradiso,1988,8.5
51,C'era una volta il West,1968,8.5
52,Rear Window,1954,8.5
53,Alien,1979,8.5
54,City Lights,1931,8.5
55,Apocalypse Now,1979,8.4
